geography,immigrant_status,total_pop,total_income,total_stir,owner_pop,owner_income,owner_stir,renter_pop,renter_income,renter_stir,renter_owner_gap,city,csd_name
    Montréal-Ouest (2466047) V 00000 (  4.0%),Immigrant,1810.0,171800.0,19.3,1340.0,198000.0,18.4,470.0,96800.0,21.8,3.400000000000002,Montreal,Montréal-Ouest
    Côte-Saint-Luc (2466058) V 00000 (  4.4%),Total Immigrant Status,32835.0,139000.0,22.6,17510.0,192800.0,19.7,15325.0,77600.0,25.8,6.100000000000001,Montreal,Côte-Saint-Luc
    Côte-Saint-Luc (2466058) V 00000 (  4.4%),Non-immigrants,13395.0,172200.0,21.2,8520.0,223800.0,18.0,4880.0,82000.0,26.6,8.600000000000001,Montreal,Côte-Saint-Luc
    Côte-Saint-Luc (2466058) V 00000 (  4.4%),Immigrant,19440.0,116300.0,23.5,8990.0,163600.0,21.4,10450.0,75600.0,25.4,4.0,Montreal,Côte-Saint-Luc
    Hampstead (2466062) V 00000 (  1.9%),Total Immigrant Status,6725.0,345200.0,18.5,5100.0,393200.0,16.6,1630.0,194800.0,24.3,7.699999999999999,Montreal,Hampstead
    Hampstead (2466062) V 00000 (  1.9%),Non-immigrants,3845.0,376800.0,17.7,3180.0,432800.0,15.6,665.0,108800.0,27.7,12.1,Montreal,Hampstead
    Hampstead (2466062) V 00000 (  1.9%),Immigrant,2880.0,302800.0,19.6,1920.0,327600.0,18.4,965.0,254400.0,22.0,3.6000000000000014,Montreal,Hampstead
    Mont-Royal (2466072) V 00000 (  3.6%),Total Immigrant Status,19960.0,266800.0,17.8,14350.0,328800.0,15.7,5615.0,108300.0,23.1,7.400000000000002,Montreal,Mont-Royal
    Mont-Royal (2466072) V 00000 (  3.6%),Non-immigrants,9990.0,352400.0,14.8,8435.0,395600.0,13.0,1555.0,117700.0,24.5,11.5,Montreal,Mont-Royal
    Mont-Royal (2466072) V 00000 (  3.6%),Immigrant,9970.0,181400.0,20.8,5910.0,234000.0,19.5,4060.0,104700.0,22.6,3.1000000000000014,Montreal,Mont-Royal
    Dorval (2466087) V 00000 (  2.3%),Total Immigrant Status,18760.0,144800.0,17.7,12715.0,178800.0,15.2,6040.0,73500.0,22.8,7.600000000000001,Montreal,Dorval
    Dorval (2466087) V 00000 (  2.3%),Non-immigrants,12150.0,159600.0,16.8,8690.0,194000.0,14.3,3465.0,73500.0,23.1,8.8,Montreal,Dorval
    Dorval (2466087) V 00000 (  2.3%),Immigrant,6610.0,117700.0,19.2,4025.0,146000.0,17.2,2580.0,73500.0,22.3,5.100000000000001,Montreal,Dorval
    L'Île-Dorval (2466092) V 09999 ( 66.7%),Total Immigrant Status,,,,,,,,,,,Montreal,L'Île-Dorval
    L'Île-Dorval (2466092) V 09999 ( 66.7%),Non-immigrants,,,,,,,,,,,Montreal,L'Île-Dorval
    L'Île-Dorval (2466092) V 09999 ( 66.7%),Immigrant,,,,,,,,,,,Montreal,L'Île-Dorval
    Pointe-Claire (2466097) V 00000 (  2.6%),Total Immigrant Status,31010.0,147600.0,17.6,23820.0,158800.0,14.9,7190.0,110500.0,26.6,11.700000000000001,Montreal,Pointe-Claire
    Pointe-Claire (2466097) V 00000 (  2.6%),Non-immigrants,19770.0,149800.0,16.7,15470.0,169400.0,13.6,4300.0,79300.0,27.9,14.299999999999999,Montreal,Pointe-Claire
    Pointe-Claire (2466097) V 00000 (  2.6%),Immigrant,11240.0,143600.0,19.0,8355.0,139000.0,17.1,2885.0,157000.0,24.6,7.5,Montreal,Pointe-Claire
    Kirkland (2466102) V 00000 (  1.0%),Total Immigrant Status,18695.0,183000.0,15.6,17545.0,187200.0,15.1,1150.0,118400.0,24.4,9.299999999999999,Montreal,Kirkland
    Kirkland (2466102) V 00000 (  1.0%),Non-immigrants,10320.0,199200.0,13.3,9685.0,204400.0,12.7,630.0,121200.0,22.8,10.100000000000001,Montreal,Kirkland
    Kirkland (2466102) V 00000 (  1.0%),Immigrant,8375.0,162800.0,18.5,7860.0,166000.0,18.0,520.0,114800.0,26.4,8.399999999999999,Montreal,Kirkland
    Beaconsfield (2466107) V 00000 (  0.8%),Total Immigrant Status,18620.0,220600.0,15.9,17130.0,229400.0,15.2,1490.0,120000.0,24.7,9.5,Montreal,Beaconsfield
    Beaconsfield (2466107) V 00000 (  0.8%),Non-immigrants,12280.0,238800.0,13.9,11350.0,250200.0,13.1,930.0,99600.0,23.1,10.000000000000002,Montreal,Beaconsfield
    Beaconsfield (2466107) V 00000 (  0.8%),Immigrant,6340.0,185200.0,19.9,5780.0,188200.0,19.2,555.0,153500.0,27.3,8.100000000000001,Montreal,Beaconsfield
    Baie-D'Urfé (2466112) V 00000 (  1.2%),Total Immigrant Status,3615.0,223400.0,14.8,3460.0,225800.0,14.5,150.0,168000.0,22.0,7.5,Montreal,Baie-D'Urfé
    Baie-D'Urfé (2466112) V 00000 (  1.2%),Non-immigrants,2265.0,248200.0,13.9,2190.0,252000.0,13.5,75.0,132000.0,23.2,9.7,Montreal,Baie-D'Urfé
    Baie-D'Urfé (2466112) V 00000 (  1.2%),Immigrant,1350.0,181600.0,16.4,1270.0,180400.0,16.1,80.0,200000.0,20.8,4.699999999999999,Montreal,Baie-D'Urfé
    Sainte-Anne-de-Bellevue (2466117) V 00000 (  7.0%),Total Immigrant Status,4555.0,147600.0,18.3,2955.0,189000.0,14.9,1600.0,70900.0,24.5,9.6,Montreal,Sainte-Anne-de-Bellevue
    Sainte-Anne-de-Bellevue (2466117) V 00000 (  7.0%),Non-immigrants,3135.0,160800.0,17.1,2090.0,202800.0,13.9,1050.0,77000.0,23.5,9.6,Montreal,Sainte-Anne-de-Bellevue
    Sainte-Anne-de-Bellevue (2466117) V 00000 (  7.0%),Immigrant,1415.0,118300.0,20.9,865.0,156000.0,17.3,550.0,59400.0,26.5,9.2,Montreal,Sainte-Anne-de-Bellevue
    Senneville (2466127) VL 00000 (  6.0%),Total Immigrant Status,935.0,236000.0,14.2,770.0,248000.0,14.2,160.0,178000.0,14.2,0.0,Montreal,Senneville
